节省计划实例ID,被抵扣账单开始时间,被抵扣账单结束时间,节省计划类型,抵扣金额,被抵扣账单目录总价,账单抵扣率,节省计划归属账号ID,对应抵扣商品CODE,被抵扣商品,被抵扣资源实例ID,抵扣折扣,货币单位,计费项,节省计划归属账号,被抵扣资源归属账号ID,被抵扣资源归属账号

spn-cbbee29bJUSMOb3K	,2026/04/03 22:18:00	,2026/04/03 22:19:00	,sfm_GenAIBeginner_spn_cn	,0.0021168,0.0021168,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:46:00	,2026/04/03 18:47:00	,sfm_GenAIBeginner_spn_cn	,0.5321128,0.5321128,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:46:00	,2026/04/03 18:47:00	,sfm_GenAIBeginner_spn_cn	,0.0057072,0.0057072,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:34:00	,2026/04/03 18:35:00	,sfm_GenAIBeginner_spn_cn	,0.0695976,0.0695976,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:34:00	,2026/04/03 18:35:00	,sfm_GenAIBeginner_spn_cn	,0.0002064,0.0002064,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:33:00	,2026/04/03 18:34:00	,sfm_GenAIBeginner_spn_cn	,0.3039664,0.3039664,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:33:00	,2026/04/03 18:34:00	,sfm_GenAIBeginner_spn_cn	,0.0047616,0.0047616,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:32:00	,2026/04/03 18:33:00	,sfm_GenAIBeginner_spn_cn	,0.577916,0.577916,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:32:00	,2026/04/03 18:33:00	,sfm_GenAIBeginner_spn_cn	,0.0051072,0.0051072,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:31:00	,2026/04/03 18:32:00	,sfm_GenAIBeginner_spn_cn	,0.0012,0.0012,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:31:00	,2026/04/03 18:32:00	,sfm_GenAIBeginner_spn_cn	,0.0180096,0.0180096,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:29:00	,2026/04/03 18:30:00	,sfm_GenAIBeginner_spn_cn	,0.2663944,0.2663944,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:29:00	,2026/04/03 18:30:00	,sfm_GenAIBeginner_spn_cn	,0.0079824,0.0079824,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:28:00	,2026/04/03 18:29:00	,sfm_GenAIBeginner_spn_cn	,0.4170944,0.4170944,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:28:00	,2026/04/03 18:29:00	,sfm_GenAIBeginner_spn_cn	,0.0126528,0.0126528,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:06:00	,2026/04/03 18:07:00	,sfm_GenAIBeginner_spn_cn	,0.1264104,0.1264104,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 18:06:00	,2026/04/03 18:07:00	,sfm_GenAIBeginner_spn_cn	,0.0011328,0.0011328,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:52:00	,2026/04/03 17:53:00	,sfm_GenAIBeginner_spn_cn	,0.2364784,0.2364784,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:52:00	,2026/04/03 17:53:00	,sfm_GenAIBeginner_spn_cn	,0.0031152,0.0031152,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:46:00	,2026/04/03 17:47:00	,sfm_GenAIBeginner_spn_cn	,0.379236,0.379236,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:46:00	,2026/04/03 17:47:00	,sfm_GenAIBeginner_spn_cn	,0.0108336,0.0108336,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:45:00	,2026/04/03 17:46:00	,sfm_GenAIBeginner_spn_cn	,0.8873672,0.8873672,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:45:00	,2026/04/03 17:46:00	,sfm_GenAIBeginner_spn_cn	,0.0106848,0.0106848,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:41:00	,2026/04/03 17:42:00	,sfm_GenAIBeginner_spn_cn	,0.206924,0.206924,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:41:00	,2026/04/03 17:42:00	,sfm_GenAIBeginner_spn_cn	,0.0068832,0.0068832,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:40:00	,2026/04/03 17:41:00	,sfm_GenAIBeginner_spn_cn	,0.2291112,0.2291112,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:40:00	,2026/04/03 17:41:00	,sfm_GenAIBeginner_spn_cn	,0.0097344,0.0097344,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:39:00	,2026/04/03 17:40:00	,sfm_GenAIBeginner_spn_cn	,0.0873472,0.0873472,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:39:00	,2026/04/03 17:40:00	,sfm_GenAIBeginner_spn_cn	,0.0010656,0.0010656,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:38:00	,2026/04/03 17:39:00	,sfm_GenAIBeginner_spn_cn	,0.0410536,0.0410536,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:38:00	,2026/04/03 17:39:00	,sfm_GenAIBeginner_spn_cn	,0.0000144,0.0000144,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:37:00	,2026/04/03 17:38:00	,sfm_GenAIBeginner_spn_cn	,0.0725624,0.0725624,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:37:00	,2026/04/03 17:38:00	,sfm_GenAIBeginner_spn_cn	,0.0019824,0.0019824,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:36:00	,2026/04/03 17:37:00	,sfm_GenAIBeginner_spn_cn	,0.7723936,0.7723936,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:36:00	,2026/04/03 17:37:00	,sfm_GenAIBeginner_spn_cn	,0.0193632,0.0193632,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:35:00	,2026/04/03 17:36:00	,sfm_GenAIBeginner_spn_cn	,0.6573344,0.6573344,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:35:00	,2026/04/03 17:36:00	,sfm_GenAIBeginner_spn_cn	,0.0208176,0.0208176,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:34:00	,2026/04/03 17:35:00	,sfm_GenAIBeginner_spn_cn	,0.2382272,0.2382272,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:34:00	,2026/04/03 17:35:00	,sfm_GenAIBeginner_spn_cn	,0.0047424,0.0047424,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:21:00	,2026/04/03 17:22:00	,sfm_GenAIBeginner_spn_cn	,0.0009128,0.0009128,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:21:00	,2026/04/03 17:22:00	,sfm_GenAIBeginner_spn_cn	,0.0226032,0.0226032,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:20:00	,2026/04/03 17:21:00	,sfm_GenAIBeginner_spn_cn	,0.0013168,0.0013168,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:20:00	,2026/04/03 17:21:00	,sfm_GenAIBeginner_spn_cn	,0.236784,0.236784,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:18:00	,2026/04/03 17:19:00	,sfm_GenAIBeginner_spn_cn	,0.0013168,0.0013168,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:18:00	,2026/04/03 17:19:00	,sfm_GenAIBeginner_spn_cn	,0.0208992,0.0208992,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:08:00	,2026/04/03 17:09:00	,sfm_GenAIBeginner_spn_cn	,0.001208,0.001208,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:08:00	,2026/04/03 17:09:00	,sfm_GenAIBeginner_spn_cn	,0.0180336,0.0180336,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:07:00	,2026/04/03 17:08:00	,sfm_GenAIBeginner_spn_cn	,0.1140488,0.1140488,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:07:00	,2026/04/03 17:08:00	,sfm_GenAIBeginner_spn_cn	,0.0047184,0.0047184,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:06:00	,2026/04/03 17:07:00	,sfm_GenAIBeginner_spn_cn	,0.1663312,0.1663312,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:06:00	,2026/04/03 17:07:00	,sfm_GenAIBeginner_spn_cn	,0.0018288,0.0018288,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:05:00	,2026/04/03 17:06:00	,sfm_GenAIBeginner_spn_cn	,0.1074848,0.1074848,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:05:00	,2026/04/03 17:06:00	,sfm_GenAIBeginner_spn_cn	,0.0183936,0.0183936,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 17:02:00	,2026/04/03 17:03:00	,sfm_GenAIBeginner_spn_cn	,0.1009544,0.1009544,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
